id,price
0,2830.6023
1,5610.4077
2,9363.359
3,4017.5842
4,1616.5095
5,6124.7354
6,4825.292
7,4260.703
8,5301.276
9,14775.965
10,4581.154
11,798.5162
12,2987.0886
13,1590.094
14,2500.4426
15,1128.0453
16,1556.0059
17,3938.5154
18,4159.1587
19,856.51337
20,2086.3594
21,5031.3423
22,4291.798
23,616.4058
24,16790.078
25,1120.2432
26,693.4997
27,1070.2826
28,1644.7687
29,887.3033
30,10262.325
31,590.2756
32,4151.01
33,727.2103
34,639.03687
35,2401.079
36,6395.6514
37,2621.9768
38,2845.907
39,656.94635
40,517.4084
41,9003.522
42,869.9252
43,1753.1697
44,10345.327
45,2438.4468
46,966.5297
47,894.3621
48,1216.7365
49,2848.731
50,640.03827
51,4580.0493
52,2908.4353
53,7138.4688
54,5538.572
55,2145.5115
56,9525.708
57,2400.6191
58,4319.585
59,2858.705
60,1199.4891
61,534.84357
62,6898.405
63,1104.5718
64,8755.22
65,17801.729
66,938.1655
67,11668.162
68,5294.1436
69,9447.012
70,440.02393
71,618.9501
72,858.6819
73,1310.3398
74,5211.449
75,1886.4907
76,8727.873
77,14462.071
78,2698.6194
79,6614.7783
80,10975.637
81,2021.3927
82,14583.084
83,6675.3193
84,843.1681
85,7403.946
86,968.38196
87,12483.234
88,8546.657
89,14307.734
90,4902.2354
91,1330.8142
92,967.18866
93,951.1412
94,16187.716
95,524.32654
96,14375.23
97,14415.083
98,12622.161
99,727.3088
100,2444.601
101,777.2497
102,702.2323
103,440.84885
104,1073.2985
105,1671.8749
106,1352.4279
107,838.6179
108,1109.4246
109,667.3889
110,601.42633
111,1087.089
112,1871.7039
113,1674.9756
114,1495.9706
115,4960.3447
116,5185.2554
117,15364.21
118,463.25952
119,17449.54
120,1353.0443
121,1619.0492
122,1058.339
123,496.38177
124,743.80963
125,1339.929
126,1132.8517
127,13206.111
128,5485.102
129,5159.145
130,6542.1255
131,3301.986
132,6703.338
133,1034.6929
134,3366.9153
135,1115.8286
136,603.9213
137,7132.628
138,532.7096
139,4455.3345
140,865.03156
141,963.41907
142,3495.471
143,4118.1514
144,782.56854
145,6244.423
146,16409.305
147,5134.7666
148,2644.1763
149,1857.656
150,2530.0198
151,1678.8431
152,12023.544
153,2791.166
154,670.09436
155,14786.162
156,3528.3662
157,2955.2424
158,3875.833
159,863.78973
160,7639.329
161,10117.274
162,633.41205
163,751.39246
164,5407.495
165,11321.615
166,3195.7117
167,4613.0674
168,3309.3223
169,10291.746
170,692.1084
171,1635.4834
172,4708.894
173,2127.7766
174,6223.006
